DATAFLOW,LAST UPDATE,freq,unit,indic_fo,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CZ,2017,2671.66,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CZ,2018,2673.47,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CZ,2019,2675.28,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CZ,2020,2677.09,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,1990,11300.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,2000,11354.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,2010,11409.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,2015,11419.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,2016,11419.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,2017,11419.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,2018,11419.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,2019,11419.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,2020,11419.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DK,1990,531.44,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DK,2000,571.60,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DK,2010,586.49,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DK,2015,624.68,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DK,2016,624.66,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DK,2017,625.60,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DK,2018,626.56,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DK,2019,627.50,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DK,2020,628.44,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EE,1990,2205.90,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EE,2000,2238.89,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EE,2010,2336.02,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EE,2015,2421.01,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EE,2016,2421.25,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EE,2017,2438.40,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EE,2018,2438.40,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EE,2019,2438.40,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EE,2020,2438.40,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EL,1990,3298.55,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EL,2000,3600.23,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EL,2010,3901.80,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EL,2015,3901.80,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EL,2016,3901.80,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EL,2017,3901.80,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EL,2018,3901.80,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EL,2019,3901.80,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,EL,2020,3901.80,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,ES,1990,13904.66,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,ES,2000,17093.93,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,ES,2010,18545.34,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,ES,2015,18551.18,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,ES,2016,18555.24,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,ES,2017,18559.30,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,ES,2018,18563.59,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,ES,2019,18567.88,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,ES,2020,18572.17,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FI,1990,21875.33,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FI,2000,22445.64,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FI,2010,22242.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FI,2015,22409.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FI,2016,22409.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FI,2017,22409.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FI,2018,22409.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FI,2019,22409.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FI,2020,22409.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FR,1990,14436.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FR,2000,15288.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FR,2010,16419.00,
