Name,ESPECE,SGIo,SAI,SGIc,ORFUNC,SRI,RANGE BIRDLIFE
Pyrrhocorax graculus,PYRGRA,1.072754227,4.32258064516129,45.5866609720796,0.305298061,10,4.553
Bubulcus ibis,BUBIBI,1.07853049,4.86363636363636,42.6094388577167,0.251511561,72,6.297
Monticola saxatilis,MONSAX,1.084060813,1.23529411764706,42.7502630354393,0.261089618,21,9.017
Galerida cristata,GALCRI,1.094907977,1.3525641025641,33.2594400000016,0.242948571,111,31.468
Acrocephalus arundinaceus,ACRARU,1.120566905,1.56218905472637,41.0598642028955,0.270230824,54,32.594
Picus canus,PICCAN,1.133304368,1.06177606177606,35.4035576181632,0.289879153,89,62.523
Vanellus vanellus,VANVAN,1.141209341,2.63048245614035,37.373532686012,0.249695396,241,38.4322
Nucifraga caryocatactes,NUCCAR,1.164183044,1.24875621890547,39.9379670440195,0.275016868,44,5.053
Larus michahellis,LARMIC,1.181697304,5.11881188118812,42.6935845516778,0.37517186,93,10.061
Gallinago gallinago,GALGAL,1.189686199,1.79310344827586,46.2548370076764,0.348845976,14,6.48
Numenius arquata,NUMARQ,1.203409462,1.42335766423358,40.573193171356,0.340197835,56,40.6
Oenanthe oenanthe,OENOEN,1.230768005,1.68463073852295,34.598668329776,0.293086368,407,21.457
Lophophanes cristatus,PARCRI,1.23198109,1.28651336233686,15.1542296542904,0.258662419,593,56.583
Corvus corax,CORRAX,1.23421912,1.40787119856887,42.3232451476314,0.309629744,203,20.352
Delichon urbicum,DELURB,1.239561771,5.51721499617445,34.2388274695959,0.293587459,506,63.547
Merops apiaster,MERAPI,1.246584778,3.92207792207792,43.4679045990162,0.278241793,92,10.01
Ardea alba,EGRALB,1.248885647,1.42307692307692,44.2791481756168,0.334881317,48,20.263
Coccothraustes coccothraustes,COCCOC,1.253586113,1.43833580980684,23.4520828513567,0.249835339,403,48.092
Circus cyaneus,CIRCYA,1.258038169,1.19205298013245,33.1090637432753,0.324556845,204,50.949
Periparus ater,PARATE,1.261420882,1.62230405049974,13.3404712779862,0.29671552,496,48.099
Bubo bubo,BUBBUB,1.262117622,1.28571428571429,45.361302723149,0.404828615,9,14.209
Regulus regulus,REGREG,1.279645914,1.25129265770424,14.6632763253838,0.253581652,696,54.54
Lanius senator,LANSEN,1.300480859,1.23605150214592,39.486794800666,0.306489025,83,23.943
Burhinus oedicnemus,BUROED,1.300980534,1.45403899721448,33.5284095239104,0.266161338,181,18.765
Falco naumanni,FALNAU,1.318948979,7.25806451612903,46.6322556468847,0.335197603,6,1.356
